Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
shop,,,,22-12-2023 14:40:47,22-12-2023 14:40:49,2.149s,PASSED
,,,,,,,
Test Cases/AR BE/Shop Info,,,,22-12-2023 14:40:47,22-12-2023 14:40:48,1.708s,PASSED
"authResponse = sendRequestAndHandleResponse(""AR BE/Auth"", [""shop"":raw_domain])",,,,22-12-2023 14:40:47,22-12-2023 14:40:47,0.003s,PASSED
"response = sendRequest(findTestObject(testObject, additionalParams))",,,,22-12-2023 14:40:47,22-12-2023 14:40:48,1.205s,PASSED
return response,,,,22-12-2023 14:40:48,22-12-2023 14:40:48,0.001s,PASSED
authorization = extractAuthorizationToken(authResponse),,,,22-12-2023 14:40:48,22-12-2023 14:40:48,0.002s,PASSED
jsonResponse = JsonSlurper().parseText(response.getResponseBodyContent()),,,,22-12-2023 14:40:48,22-12-2023 14:40:48,0.020s,PASSED
return (Bearer  + jsonResponse.data.token),,,,22-12-2023 14:40:48,22-12-2023 14:40:48,0.011s,PASSED
print(authorization),,,,22-12-2023 14:40:48,22-12-2023 14:40:48,0.003s,PASSED
"shopInfoResponse = sendRequestAndHandleResponse(object_repo, [""authorization"":authorization])",,,,22-12-2023 14:40:48,22-12-2023 14:40:48,0.002s,PASSED
"response = sendRequest(findTestObject(testObject, additionalParams))",,,,22-12-2023 14:40:48,22-12-2023 14:40:48,0.135s,PASSED
return response,,,,22-12-2023 14:40:48,22-12-2023 14:40:48,0.001s,PASSED
"verifyResponseStatusCode(shopInfoResponse, response_status)",,,,22-12-2023 14:40:48,22-12-2023 14:40:48,0.008s,PASSED
if (is_valid_response_schema == 1),,,,22-12-2023 14:40:48,22-12-2023 14:40:48,0.061s,PASSED
shopInfo = JsonSlurper().parseText(shopInfoResponse.getResponseBodyContent()),,,,22-12-2023 14:40:48,22-12-2023 14:40:48,0.001s,PASSED
println(shopInfo),,,,22-12-2023 14:40:48,22-12-2023 14:40:48,0.020s,PASSED
,,,,,,,
Test Cases/AR BE/Shop Info,,,,22-12-2023 14:40:48,22-12-2023 14:40:49,0.239s,PASSED
"authResponse = sendRequestAndHandleResponse(""AR BE/Auth"", [""shop"":raw_domain])",,,,22-12-2023 14:40:48,22-12-2023 14:40:48,0.001s,PASSED
"response = sendRequest(findTestObject(testObject, additionalParams))",,,,22-12-2023 14:40:48,22-12-2023 14:40:49,0.108s,PASSED
return response,,,,22-12-2023 14:40:49,22-12-2023 14:40:49,0.000s,PASSED
authorization = extractAuthorizationToken(authResponse),,,,22-12-2023 14:40:49,22-12-2023 14:40:49,0.000s,PASSED
jsonResponse = JsonSlurper().parseText(response.getResponseBodyContent()),,,,22-12-2023 14:40:49,22-12-2023 14:40:49,0.000s,PASSED
return (Bearer  + jsonResponse.data.token),,,,22-12-2023 14:40:49,22-12-2023 14:40:49,0.000s,PASSED
print(authorization),,,,22-12-2023 14:40:49,22-12-2023 14:40:49,0.001s,PASSED
"shopInfoResponse = sendRequestAndHandleResponse(object_repo, [""authorization"":authorization])",,,,22-12-2023 14:40:49,22-12-2023 14:40:49,0.000s,PASSED
"response = sendRequest(findTestObject(testObject, additionalParams))",,,,22-12-2023 14:40:49,22-12-2023 14:40:49,0.110s,PASSED
return response,,,,22-12-2023 14:40:49,22-12-2023 14:40:49,0.000s,PASSED
"verifyResponseStatusCode(shopInfoResponse, response_status)",,,,22-12-2023 14:40:49,22-12-2023 14:40:49,0.001s,PASSED
if (is_valid_response_schema == 1),,,,22-12-2023 14:40:49,22-12-2023 14:40:49,0.003s,PASSED
shopInfo = JsonSlurper().parseText(shopInfoResponse.getResponseBodyContent()),,,,22-12-2023 14:40:49,22-12-2023 14:40:49,0.000s,PASSED
println(shopInfo),,,,22-12-2023 14:40:49,22-12-2023 14:40:49,0.000s,PASSED
